Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PHGE,BiomX Inc. COmmon Stock,$5.73,0.1448,2.593%,139392100.00,,2019,31936,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$1.55,-0.01,-0.641%,37215392.00,China,,29326,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$3.10,-0.03,-0.958%,229512880.00,Canada,,395410,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.83,-0.11,-2.792%,386360136.00,Canada,,64603,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.68,-0.03,-1.754%,76243156.00,Israel,,714855,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.52,-0.28,-1.045%,,United States,,775,,
PRK,Park National Corporation Common Stock,$114.54,-1.36,-1.173%,1871657364.00,United States,,44577,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$9.9199,0.0099,0.10%,126913822.00,United States,2020,654,,
PTN,Palatin Technologies Inc. Common Stock,$0.5611,-0.0096,-1.682%,129080882.00,United States,,993574,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$42.00,0.59,1.425%,139542186.00,United States,,9347,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.11,0.00,0.00%,,United States,,55,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.9698,0.0098,1.021%,36557988.00,United States,2015,95903,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.12,-0.06,-2.752%,12618147.00,United States,,55494,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$2.80,-0.07,-2.439%,277972624.00,United States,,1243923,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$22.32,-2.74,-10.934%,402240349.00,United States,,166161,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$11.68,-0.42,-3.471%,19718398.00,,2017,712608,Consumer Services,Real Estate Investment Trusts
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$5.9999,0.2399,4.165%,,,,3780,,
RLGT,Radiant Logistics Inc. Common Stock,$6.92,0.29,4.374%,346826760.00,United States,,212332,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$3.83,-0.19,-4.726%,21301085.00,,2018,1673977,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$11.02,-0.28,-2.478%,374725226.00,United States,,174735,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.4999,0.0199,0.078%,0.00,United States,2019,1137,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.14,-0.07,-1.344%,136932334.00,United States,2017,152534,Consumer Services,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$25.35,-0.05,-0.197%,,United States,,20443,,
SBEV,Splash Beverage Group Inc. Common Stock,$3.69,0.17,4.83%,112499347.00,,2021,303741,Health Care,Medical/Nursing Services
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.49,-0.14,-0.546%,0.00,United States,2019,135,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.95,-0.0169,-0.065%,0.00,United States,2020,2681,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.8595,0.0147,1.74%,22144336.00,,2014,182518,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3779.00,-88.20,-2.281%,4386583841.00,United States,1996,798,,
SENS,Senseonics Holdings Inc. Common Stock,$3.01,-0.16,-5.047%,1288497310.00,United States,,11973964,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$10.66,-0.0652,-0.608%,63844115.00,United States,,2933,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$8.13,-0.02,-0.245%,1174443247.00,,2018,399618,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$23.89,1.17,5.15%,3685267195.00,Mexico,1993,11435,Basic Industries,Steel/Iron Ore
SLI,Standard Lithium Ltd.,$5.65,5.65,,,,,5891947,,
SMTS,Sierra Metals Inc. Common Stock,$2.97,-0.05,-1.656%,485381606.00,,,132295,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$1.12,0.00,0.00%,62927623.00,United States,,2748823,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.50,-0.15,-5.66%,17300133.00,United States,,284080,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$9.60,-0.27,-2.736%,711494102.00,United States,,258493,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.22,-0.01,-0.191%,918105136.00,,,611101,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.675,0.085,0.99%,21501048.00,United States,,178,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.5497,0.0178,3.346%,72583783.00,United States,,1988531,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.91,-0.09,-4.50%,540891036.00,Canada,,1551955,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.04,-0.01,-0.952%,202704511.00,Canada,,92478,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$8.03,-1.52,-15.916%,93648903.00,,,3127305,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.14,0.02,1.786%,42001071.00,United States,2015,785532,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$76.01,-1.79,-2.301%,1132931862.00,United States,,28499,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.36,-0.07,-2.881%,340530947.00,Canada,,272738,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.21,-0.01,-0.45%,71726805.00,,,18180,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$4.95,-0.09,-1.786%,19369622.00,United States,,204913,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.48,0.00,0.00%,122337867.00,Canada,,351885,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.9405,-0.0322,-3.31%,99931023.00,United States,,3799389,Capital Goods,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$4.15,-0.23,-5.251%,286167923.00,United States,,2107732,,
UEC,Uranium Energy Corp. Common Stock,$2.15,-0.06,-2.715%,501484056.00,Canada,,3891868,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$3.40,-0.06,-1.734%,33249100.00,United States,2015,19411,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.22,-0.03,-2.40%,231054702.00,Canada,,1441698,Basic Industries,Other Metals and Minerals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.59,-0.03,-1.852%,211615407.00,,2017,395586,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.91,-0.08,-0.229%,2075943049.00,United States,2004,240183,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$6.41,-0.48,-6.967%,14825606.00,United States,,83386,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.04,-0.20,-3.817%,739917657.00,,,2679042,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.96,-0.01,-0.067%,72363016.00,United States,1993,1508,Finance,Finance/Investors Services
VFL,Delaware Investments National Municipal Income Fund Common Stock,$14.31,0.01,0.07%,64802019.00,United States,1993,2753,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.8792,-0.0105,-1.18%,91567733.00,United States,,3182275,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.91,-0.02,-0.201%,249298438.00,,2021,900,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.34,-0.12,-0.963%,547791739.00,United States,,41532,Finance,Finance Companies
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$14.26,0.08,0.564%,164060944.00,United States,1993,7794,Finance,Finance/Investors Services
VNRX,VolitionRX Limited Common Stock,$3.15,-0.01,-0.316%,166612046.00,Singapore,2015,101703,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$4.79,-0.15,-3.036%,104118194.00,United States,,144975,Consumer Services,Movies/Entertainment
WLMS,Williams Industrial Services Group Inc. Common Stock,$5.75,0.10,1.77%,148902006.00,,2021,32089,Capital Goods,Oilfield Services/Equipment
WRN,Western Copper and Gold Corporation Common Stock,$1.90,-0.09,-4.523%,280451638.00,Canada,2011,574722,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$2.95,-0.53,-15.23%,63897938.00,United States,,235921,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$4.40,-0.03,-0.677%,142279786.00,United States,,435567,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$6.73,-0.12,-1.752%,61050199.00,United States,,29272,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.6138,-0.0068,-1.096%,35863791.00,United States,,481791,,
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.65,-0.35,-17.50%,143067022.00,United States,,1224678,Health Care,Medical Specialities
XXII,22nd Century Group Inc. Common Stock,$3.64,-0.12,-3.191%,591742460.00,United States,,1070855,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$2.71,-0.08,-2.867%,154382101.00,United States,2017,173976,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$7.21,-0.19,-2.568%,,United States,,37473,,
ZDGE,Zedge Inc. Class B Common Stock ,$18.38,-0.05,-0.271%,260748624.00,,2016,470608,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.6833,-0.0347,-4.833%,668140193.00,United States,2017,27638839,,
